Addr.,#PatternID,GP2_request_pattern,L1PA_SPR,sequenceElementID,,
00,0,0,0,0,,0
01,1,10000,0,0,,1
02,2,1000,1,0,,2
03,3,100,0,0,,3
04,4,10,1,0,,4
05,5,1,0,0,,5
06,6,11000,4,0,,6
07,7,10100,0,0,,7
08,8,10010,2,0,,8
09,9,10001,0,0,,9
0A,10,1100,3,0,,10
0B,11,1010,1,0,,11
0C,12,1001,1,0,,12
0D,13,110,2,0,,13
0E,14,101,0,0,,14
0F,15,11,1,0,,15
10,16,11100,0,0,,16
11,16,11100,1,1,,17
12,17,11010,4,0,,18
13,18,11001,0,0,,19
14,18,11001,1,1,,20
15,19,10110,2,0,,21
16,20,10101,0,0,,22
17,21,10011,0,0,,23
18,21,10011,1,1,,24
19,22,1110,0,0,,25
1A,22,1110,1,1,,26
1B,23,1101,3,0,,27
1C,24,1011,1,0,,28
1D,25,111,0,0,,29
1E,25,111,1,1,,30
1F,26,11110,0,0,,31
20,26,11110,1,1,,32
21,27,11101,0,0,,33
22,27,11101,1,1,,34
23,28,11011,0,0,,35
24,28,11011,1,1,,36
25,29,10111,0,0,,37
26,29,10111,1,1,,38
27,30,1111,0,0,,39
28,30,1111,1,1,,40
29,31,11111,0,0,,41
2A,31,11111,1,1,,42
