relRowChunk_0(L1BS),relRowChunk_1(L1BS),relRowChunk_2(L1BS),relRowChunk_3(L1BS),relRowChunk_4(L1BS),relRowChunk_0(L1PA),relRowChunk_1(L1PA),relRowChunk_2(L1PA),relRowChunk_3(L1PA),relRowChunk_4(L1PA),L1PA_shiftCtrl
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
8,9,10,11,12,10,11,12,8,9,3
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
7,8,9,10,11,10,11,7,8,9,2
